Employers who were issued a positive Labour Market Impact Assessment (LMIA) by National Occupational Classification (NOC) 2011 and business location in 2016,,,,
Province/Territory,Employer,Address,Occupations under NOC 2011,Positions Approved
,Robbins Hearing Service Inc.,"St. John's, NL A1B 4S8",3141-Audiologists and speech-language pathologists,1
,ROM Group Limited,"Torbay, NL A1K 1K9",6322-Cooks,3
,Schlumberger Canada Limited,"Mount Pearl, NL A1N 5B1","8222-Contractors and supervisors, oil and gas drilling and services",2
,Seadrill Canada Ltd.,"St. John's, NL A1E 0E4",0811-Managers in natural resources production and fishing,1
,,,2145-Petroleum engineers,2
,,,2241-Electrical and electronics engineering technologists and technicians,5
,,,"2273-Deck officers, water transport",1
,,,"2274-Engineer officers, water transport",2
,,,"8222-Contractors and supervisors, oil and gas drilling and services",2
,,,"8232-Oil and gas well drillers, servicers, testers and related workers",4
,Solace Power Incorporated,"Mount Pearl, NL A1N 5E7",2133-Electrical and electronics engineers,1
,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",0711-Construction managers,3
,,,1221-Administrative officers,3
,,,2145-Petroleum engineers,2
,,,2154-Land surveyors,8
,,,2232-Mechanical engineering technologists and technicians,7
,,,2255-Technical occupations in geomatics and meteorology,21
,,,"2273-Deck officers, water transport",11
,,,"2274-Engineer officers, water transport",13
,,,6322-Cooks,3
,,,6513-Food and beverage servers,11
,,,7237-Welders and related machine operators,1
,,,7242-Industrial electricians,5
,,,"7302-Contractors and supervisors, heavy equipment operator crews",18
,,,7311-Construction millwrights and industrial mechanics,3
,,,7371-Crane operators,8
,,,7532-Water transport deck and engine room crew,13
,Sunrise Dairy Limited,"Musgravetown, NL A0C 1Z0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,Torbay Fun Foods Ltd.,"St. John's, NL A1A 4L6",6322-Cooks,2
,Vale Newfoundland and Labrador Limited,"St. John's, NL A1C 1K4","0016-Senior managers - construction, transportation, production and utilities",1
,West End Foods Limited oa Jungle Jims,"St. John's, NL A1B 4J9",6322-Cooks,2
,,"St. John's, NL A1E 2E3",6322-Cooks,3
,Western Regional Integrated Health Authority,"Corner Brook, NL A2H 6J7",3111-Specialist physicians,8
,,,3112-General practitioners and family physicians,2
,WorleyParsons Canada Services Ltd.,"St. John's, NL A1E 1E2",0711-Construction managers,1
,,,2232-Mechanical engineering technologists and technicians,1
,,,2233-Industrial engineering and manufacturing technologists and technicians,1
,,,2241-Electrical and electronics engineering technologists and technicians,2
,,,2263-Inspectors in public and environmental health and occupational health and safety,1
,Yellow Belly Brewery Ltd,"St. John's, NL A1C 5J9",6322-Cooks,2
Prince Edward Island,6497942 Canada Inc.,"Charlottetown, PE C1A 6H7",6311-Food service supervisors,2
,7035233 Canada Inc,"Mount Stewart, PE C0A 1T0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
,Acadian Supreme Inc.,"Wellington, PE C0B 2E0",9463-Fish and seafood plant workers,24
