,Province/Territories,Unnamed: 1,Positive,Negative,Positive.1,Negative.1,Positive.2,Negative.2,Positive.3,Negative.3,Positive.4,Negative.4,Positive.5,Negative.5,Positive.6,Negative.6,Positive.7,Negative.7
44,Ontario,3560-London,"1,599",97,"2,109",5,"2,064",1.0,"2,270",8.0,"1,886",0.0,"1,924",0.0,"2,612",0.0,"2,199",0.0
45,Ontario,3570-Windsor--Sarnia,"6,629",145,"6,469",74,"6,812",0.0,"5,807",7.0,"5,022",0.0,"5,321",0.0,"4,845",0.0,"5,491",0.0
46,Ontario,3580-Stratford--Bruce Peninsula,750,0,"1,173",6,"1,316",0.0,"1,038",0.0,"1,061",0.0,"1,018",0.0,"1,164",0.0,"1,358",0.0
47,Ontario,3590-Northeast,127,0,220,6,204,0.0,168,0.0,172,0.0,120,0.0,176,0.0,203,0.0
48,Ontario,3595-Northwest,0,0,0,0,16,0.0,8,0.0,3,0.0,2,0.0,15,0.0,11,0.0
49,Ontario,3599-Unspecified,21,0,24,0,334,0.0,100,0.0,15,0.0,16,0.0,12,0.0,7,0.0
50,Ontario,Total,"19,386",501,"26,163",242,"25,564",47.0,"23,334",41.0,"20,785",5.0,"22,082",9.0,"23,839",5.0,"26,608",2.0
51,Manitoba,4610-Southeast,39,0,41,0,19,0.0,24,2.0,23,0.0,4,0.0,34,0.0,22,0.0
52,Manitoba,4620-South Central,121,2,61,47,169,0.0,166,0.0,155,4.0,144,0.0,126,0.0,283,0.0
53,Manitoba,4640-North Central,281,2,247,0,244,4.0,204,0.0,406,0.0,290,0.0,306,0.0,496,0.0
54,Manitoba,4660-Interlake,18,0,134,0,116,0.0,142,0.0,144,0.0,26,0.0,55,0.0,29,0.0
55,Manitoba,4670-Parklands,7,0,6,0,5,0.0,2,2.0,4,0.0,1,0.0,1,0.0,0,0.0
56,Manitoba,4680-North,0,0,0,0,0,0.0,65,0.0,9,0.0,0,0.0,0,0.0,0,0.0
57,Manitoba,4699-Unspecified,14,0,26,0,62,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0
58,Manitoba,Total,480,4,515,47,615,4.0,603,4.0,741,4.0,465,0.0,524,0.0,830,0.0
59,Saskatchewan,4710-Regina--Moose Mountain,23,0,28,0,35,5.0,29,0.0,29,0.0,31,0.0,35,0.0,46,0.0
60,Saskatchewan,4720-Swift Current--Moose Jaw,13,0,10,0,10,0.0,12,0.0,14,0.0,11,0.0,22,0.0,25,2.0
61,Saskatchewan,4730-Saskatoon--Biggar,95,0,106,1,136,0.0,79,0.0,80,0.0,84,2.0,54,0.0,100,0.0
62,Saskatchewan,4740-Yorkton--Melville,9,3,9,0,2,0.0,2,0.0,6,0.0,10,0.0,11,0.0,12,0.0
63,Saskatchewan,4750-Prince Albert,47,20,52,0,50,0.0,50,0.0,53,0.0,57,0.0,65,0.0,73,0.0
64,Saskatchewan,4799-Unspecified,0,0,0,0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
65,Saskatchewan,Total,187,23,205,1,240,5.0,172,0.0,182,0.0,193,2.0,187,0.0,256,2.0
66,Alberta,4810-Lethbridge--Medicine Hat,565,51,548,53,623,16.0,569,4.0,510,0.0,601,27.0,615,0.0,813,0.0
67,Alberta,4820-Camrose--Drumheller,134,7,150,12,199,12.0,150,0.0,162,0.0,173,0.0,194,0.0,259,0.0
68,Alberta,4830-Calgary,132,0,126,4,173,0.0,137,1.0,121,0.0,108,0.0,163,0.0,179,0.0
